Favorite,Activity Name,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Avg Run Cadence,Calories,Training Effect,
false,Recovery Run,"Sun, 22 Dec 2013 9:37",59:51,7.01,355,8:32,149,157,--,702,3.2,
false,Long Run,"Sat, 21 Dec 2013 8:04",1:44:51,13.14,602,7:59,155,165,--,"1,289",4.1,
false,Recovery Run,"Fri, 20 Dec 2013 8:01",45:52,5.37,323,8:32,151,160,--,574,3.5,
false,Fartleks,"Thu, 19 Dec 2013 9:44",53:12,6.79,219,7:50,160,169,--,721,4.4,
false,Untitled,"Wed, 18 Dec 2013 7:47",1:03:52,8.08,370,7:54,158,167,--,859,4.5,
false,Long Run,"Sat, 14 Dec 2013 7:43",1:29:36,11.07,314,8:06,154,163,--,"1,159",4.0,
false,Tempo Run,"Fri, 13 Dec 2013 7:15",34:16,4.50,171,7:37,158,168,--,428,4.5,
false,Recovery Run,"Thu, 12 Dec 2013 7:08",1:01:24,7.16,457,8:34,--,--,--,--,--,
false,Fartleks,"Wed, 11 Dec 2013 6:51",56:15,7.11,401,7:55,--,--,--,--,--,
false,Manually entered,"Tue, 10 Dec 2013 7:41",53:12,6.67,390,8:00,--,--,--,--,--,
false,Long Run*,"Sun, 8 Dec 2013 8:17",1:40:48,12.46,"228",8:06,153,169,86,"1,183",3.4,
false,Untitled,"Fri, 6 Dec 2013 6:59",40:50,5.24,285,7:47,158,165,88,518,4.0,
false,Recovery Run (windy!),"Thu, 5 Dec 2013 7:48",1:00:33,6.87,441,8:49,155,164,85,749,4.1,
false,Trail Run,"Wed, 4 Dec 2013 8:27",1:04:16,7.02,898,9:09,159,170,84,840,4.7,
false,Untitled,"Tue, 3 Dec 2013 7:28",41:20,5.23,362,7:54,159,167,88,553,4.1,
false,Long Run,"Sun, 1 Dec 2013 11:09",1:26:20,10.65,749,8:07,162,172,86,"1,157",5.0,
false,Short Tempo Run,"Fri, 29 Nov 2013 10:07",23:06,3.12,190,7:25,162,172,90,293,4.0,
false,Recovery Run,"Thu, 28 Nov 2013 7:02",1:06:12,7.57,417,8:45,153,165,86,817,3.5,
false,Fartleks,"Wed, 27 Nov 2013 7:06",42:34,5.41,358,7:52,158,168,88,556,3.6,
false,Untitled*,"Tue, 26 Nov 2013 7:37",41:34,5.34,284,7:47,160,170,88,539,3.7,
false,Long Run,"Sun, 24 Nov 2013 10:46",1:09:30,8.71,554,7:59,166,174,87,939,4.9,
false,Recovery Run,"Fri, 22 Nov 2013 7:29",38:36,4.40,228,8:47,153,165,88,471,3.2,
false,Tired Easy Run,"Thu, 21 Nov 2013 7:36",42:21,5.12,219,8:16,164,175,88,568,4.7,
false,Easy-ish run,"Tue, 19 Nov 2013 18:43",51:56,6.70,265,7:45,167,177,86,716,5.0,
true,Leeds Abbey Dash,"Sun, 17 Nov 2013 9:32",45:09,6.28,111,7:12,176,184,86,656,5.0,
false,3 miles easy,"Thu, 14 Nov 2013 17:42",26:12,3.18,154,8:14,161,176,88,338,4.3,
false,Untitled,"Tue, 12 Nov 2013 17:11",39:26,5.02,320,7:52,166,177,88,539,--,
false,Slow Icy Run,"Sun, 10 Nov 2013 9:00",54:13,6.62,443,8:13,--,--,--,--,--,
false,"30 mins (warmup, speed)","Fri, 8 Nov 2013 7:14",30:02,3.90,65,7:42,170,180,88,421,--,
false,"50 mins (warmup, tempo)","Wed, 6 Nov 2013 7:34",50:05,6.34,290,7:54,169,178,88,694,--,
false,3.5 miles easy,"Tue, 5 Nov 2013 7:14",29:02,3.52,142,8:14,168,179,--,399,--,
false,Hangover cure,"Sat, 2 Nov 2013 9:30",50:13,6.54,273,7:41,172,184,--,697,--,
false,Untitled,"Fri, 1 Nov 2013 7:07",45:33,5.80,278,7:51,170,179,--,601,--,
false,Untitled,"Fri, 25 Oct 2013 7:20",25:00,3.23,156,7:44,164,177,--,288,--,
false,The Yorkshire Marathon,"Sun, 20 Oct 2013 9:36",4:10:47,26.19,391,9:34,168,178,86,"3,296",--,
false,Easy Run (taper),"Thu, 17 Oct 2013 7:26",32:25,3.63,188,8:56,156,172,88,419,--,
false,Intervals (5:1 x 2) (taper),"Tue, 15 Oct 2013 7:16",25:33,3.13,147,8:10,161,177,89,343,--,
false,Long Run (taper),"Sun, 13 Oct 2013 9:23",1:18:26,9.20,442,8:32,155,167,86,950,--,
false,Easy Run,"Sat, 12 Oct 2013 9:14",34:07,4.02,172,8:29,158,170,86,439,--,
false,"50m easy, 25m threshold","Thu, 10 Oct 2013 7:47",1:15:29,9.06,374,8:20,163,176,86,"1,008",--,
false,Intervals (5:1m x 6),"Tue, 8 Oct 2013 9:39",50:17,6.50,213,7:44,165,176,89,629,--,
false,Long-ish Run,"Sun, 6 Oct 2013 9:26",2:13:16,15.12,968,8:49,166,177,87,"1,750",--,
false,Easy Run,"Fri, 4 Oct 2013 7:39",43:00,5.02,197,8:34,159,176,89,536,--,
false,Grimtervals (8:1.5 x 4),"Wed, 2 Oct 2013 10:31",50:44,6.30,255,8:03,170,179,87,660,--,
false,Easy Run,"Tue, 1 Oct 2013 7:14",48:40,5.44,270,8:57,169,185,--,660,--,
false,Back from Africa,"Sat, 28 Sep 2013 14:02",37:48,4.75,192,7:57,170,181,87,506,--,
false,Trail Run (SA),"Sun, 22 Sep 2013 16:24",56:36,3.37,841,16:47,--,--,--,333,--,
false,Long Run,"Thu, 12 Sep 2013 8:04",2:26:08,16.55,448,8:50,162,172,86,"1,910",--,
false,Guiseley - Rothwell,"Sun, 8 Sep 2013 9:13",1:46:22,13.52,380,7:52,161,174,86,"1,464",--,
false,Threshold Run,"Thu, 5 Sep 2013 17:05",30:34,3.88,191,7:53,161,172,86,430,--,
false,Easy Run,"Wed, 4 Sep 2013 17:05",33:26,4.05,175,8:15,155,166,--,449,--,
false,Intervals (3:1.5m x 5),"Tue, 3 Sep 2013 17:08",42:40,5.47,270,7:48,163,172,--,592,--,
false,"60m easy, 30m h/m pace","Sun, 1 Sep 2013 9:51",1:30:50,11.28,467,8:03,160,171,86,"1,240",--,
false,Recovery Run,"Thu, 29 Aug 2013 17:04",41:58,5.18,193,8:07,157,166,--,564,--,
false,Almost abandoned intervals,"Wed, 28 Aug 2013 17:08",51:21,6.42,248,8:00,159,169,88,689,--,
false,Easy Run,"Tue, 27 Aug 2013 18:16",45:42,5.67,289,8:03,158,168,88,615,--,
false,Long Slow Run,"Sun, 25 Aug 2013 8:01",2:35:55,17.54,847,8:53,--,--,88,"2,168",--,
false,Tired intervals (1km : 90s x 6),"Fri, 23 Aug 2013 16:36",51:16,6.61,232,7:46,164,175,87,718,--,
false,Recovery (ish) Run,"Thu, 22 Aug 2013 17:06",36:32,4.51,221,8:06,161,171,--,502,--,
false,Intervals (10:1.5 x3),"Tue, 20 Aug 2013 18:36",44:35,5.90,224,7:34,164,175,88,607,--,
false,Recovery Run,"Sun, 18 Aug 2013 10:09",30:45,3.71,134,8:17,156,162,--,375,--,
false,Long Slow Run,"Sat, 17 Aug 2013 8:30",2:07:21,15.01,951,8:29,165,177,87,"1,744",--,
false,Intervals (1km:90s x 6),"Thu, 15 Aug 2013 18:26",53:09,6.76,279,7:52,168,179,87,785,--,
false,Untitled,"Mon, 12 Aug 2013 17:10",34:23,4.45,207,7:43,164,175,--,499,--,
false,Stomach affected intervals (10:1.5 x 3),"Sat, 10 Aug 2013 7:16",45:03,5.65,235,7:58,154,165,88,579,--,
false,Intervals (3:1.5 x 5),"Thu, 8 Aug 2013 12:13",40:20,5.06,44,7:58,160,174,88,535,--,
false,Recovery Run,"Wed, 7 Aug 2013 17:08",39:43,4.75,120,8:22,159,167,--,530,--,
false,Intervals (10:2 x 3),"Tue, 6 Aug 2013 17:05",46:37,5.99,231,7:47,164,171,88,634,--,
false,Long Slow Run,"Sun, 4 Aug 2013 9:04",1:30:39,10.29,142,8:49,--,--,88,"1,269",--,
false,Intervals,"Sat, 3 Aug 2013 9:29",46:03,5.68,47,8:07,--,--,87,703,--,
false,Recovery Run,"Wed, 31 Jul 2013 16:32",31:24,3.86,75,8:08,157,167,85,387,--,
false,Intervals,"Tue, 30 Jul 2013 12:16",47:33,5.94,132,8:01,--,--,86,736,--,
false,Long Slow Run,"Sun, 28 Jul 2013 14:38",1:26:24,10.11,429,8:33,--,--,86,"1,249",--,
false,Intervals,"Fri, 26 Jul 2013 16:44",47:14,5.77,209,8:11,167,179,87,585,--,
false,"Trails, sort of","Wed, 24 Jul 2013 17:09",38:13,4.85,205,7:53,--,--,88,603,--,
false,Guiseley - Ilkley,"Mon, 22 Jul 2013 20:08",57:11,7.17,100,7:58,--,--,87,887,--,
false,Airport,"Sat, 20 Jul 2013 10:21",57:51,7.09,368,8:10,--,--,88,879,--,
false,Untitled,"Thu, 18 Jul 2013 16:37",42:45,5.01,154,8:32,--,--,88,621,--,
false,Leeds 10k,"Sun, 14 Jul 2013 9:33",47:27,6.21,262,7:36,--,--,86,773,--,
false,Untitled,"Wed, 10 Jul 2013 17:08",50:42,6.27,296,8:05,--,--,88,779,--,
false,Untitled,"Mon, 8 Jul 2013 18:12",39:53,5.02,176,7:57,--,--,89,623,--,
false,Untitled,"Wed, 3 Jul 2013 18:39",30:36,4.03,98,7:35,--,--,89,499,--,
false,Untitled,"Mon, 1 Jul 2013 17:43",25:38,3.13,163,8:11,--,--,88,385,--,
false,Untitled,"Fri, 28 Jun 2013 16:38",19:22,2.32,26,8:21,--,--,89,283,--,
false,Untitled,"Wed, 26 Jun 2013 12:19",30:43,4.05,87,7:35,--,--,90,535,--,
false,Untitled,"Mon, 24 Jun 2013 17:02",23:46,3.12,69,7:37,--,--,90,407,--,
false,Untitled,"Fri, 21 Jun 2013 16:41",24:31,3.11,65,7:52,--,--,88,406,--,
false,Untitled,"Wed, 19 Jun 2013 17:03",25:34,3.10,162,8:15,--,--,88,403,--,
false,Untitled,"Mon, 17 Jun 2013 17:11",25:42,3.12,168,8:14,--,--,88,408,--,
false,Untitled,"Fri, 14 Jun 2013 7:57",19:07,2.21,95,8:38,--,--,87,288,--,
false,Untitled,"Mon, 10 Jun 2013 18:24",17:30,2.05,113,8:33,--,--,86,264,--,
false,Untitled,"Fri, 24 May 2013 10:04",32:01,3.88,29,8:15,--,--,86,509,--,
false,Leeds Park Run,"Sat, 13 Apr 2013 9:00",22:57,3.10,93,7:24,--,--,89,394,--,
false,Untitled,"Wed, 10 Apr 2013 18:01",32:44,4.16,130,7:53,--,--,89,545,--,
false,Untitled,"Mon, 8 Apr 2013 17:52",48:50,6.23,249,7:50,--,--,88,816,--,
false,Untitled,"Thu, 4 Apr 2013 17:52",59:25,7.12,313,8:21,--,--,89,929,--,
false,Untitled,"Tue, 2 Apr 2013 18:08",51:09,6.27,304,8:09,--,--,88,818,--,
false,Untitled,"Sun, 31 Mar 2013 9:19",44:35,5.43,284,8:13,--,--,--,708,--,
false,Untitled,"Fri, 29 Mar 2013 10:59",29:36,3.13,182,9:28,--,--,--,402,--,
false,Untitled,"Sun, 17 Mar 2013 12:17",1:15:41,8.59,722,8:49,--,--,82,"1,115",--,
false,Untitled,"Fri, 15 Mar 2013 18:25",1:23:10,10.25,440,8:07,--,--,--,"1,322",--,
false,Untitled,"Wed, 13 Mar 2013 18:27",55:56,7.07,356,7:54,--,--,--,915,--,
false,Untitled,"Mon, 11 Mar 2013 18:42",1:07:58,8.49,350,8:00,--,--,--,"1,101",--,
false,Untitled,"Fri, 8 Mar 2013 9:02",1:00:32,7.44,292,8:08,--,--,83,972,--,
false,Untitled,"Wed, 6 Mar 2013 16:45",1:09:42,8.65,482,8:03,--,--,83,"1,207",--,
false,Untitled,"Mon, 4 Mar 2013 16:21",1:18:55,10.04,378,7:52,--,--,--,"1,395",--,
false,Untitled,"Fri, 1 Mar 2013 7:59",1:15:47,9.30,570,8:09,--,--,83,"1,300",--,
false,Untitled,"Wed, 27 Feb 2013 11:24",27:06,3.17,188,8:33,--,--,--,439,--,
false,Untitled,"Wed, 27 Feb 2013 10:29",46:43,5.57,492,8:23,--,--,--,776,--,
false,Untitled,"Mon, 25 Feb 2013 16:10",1:13:01,9.28,452,7:52,--,--,--,"1,283",--,
false,Untitled,"Fri, 22 Feb 2013 7:05",57:45,7.10,442,8:08,--,--,--,992,--,
false,Untitled,"Wed, 20 Feb 2013 7:41",1:23:58,10.07,784,8:21,--,--,--,"1,404",--,
false,Untitled,"Mon, 18 Feb 2013 8:05",1:04:06,8.14,343,7:53,--,--,--,"1,126",--,
false,Untitled,"Fri, 15 Feb 2013 9:54",1:23:12,10.09,515,8:15,--,--,--,"1,399",--,
false,Untitled,"Wed, 13 Feb 2013 18:07",53:11,6.22,291,8:33,--,--,--,864,--,
false,Untitled,"Mon, 11 Feb 2013 15:36",1:21:33,10.08,517,8:06,--,--,--,"1,396",--,
false,Untitled,"Fri, 8 Feb 2013 9:20",1:07:41,8.20,624,8:15,--,--,--,"1,146",--,
false,Untitled,"Wed, 6 Feb 2013 11:57",1:36:39,11.05,640,8:42,--,--,--,"1,561",--,
false,Untitled,"Mon, 4 Feb 2013 18:19",56:20,7.12,389,7:55,--,--,--,976,--,
false,Untitled,"Fri, 1 Feb 2013 15:37",1:19:31,9.53,518,8:21,--,--,--,"1,319",--,
false,Untitled,"Wed, 30 Jan 2013 16:36",1:08:54,8.36,381,8:14,--,--,--,"1,151",--,
false,Untitled,"Mon, 28 Jan 2013 8:54",1:29:48,10.27,604,8:45,--,--,--,"1,418",--,
false,Untitled,"Sun, 27 Jan 2013 13:11",37:23,4.25,356,8:48,--,--,82,593,--,
false,Untitled,"Fri, 25 Jan 2013 8:34",1:18:01,9.07,546,8:36,--,--,--,"1,249",--,
false,Super Snowy Seven Miler II,"Wed, 23 Jan 2013 11:09",1:00:30,7.04,459,8:36,--,--,--,974,--,
false,Super snowy seven miler,"Mon, 21 Jan 2013 13:57",1:04:03,7.11,399,9:01,--,--,--,975,--,
false,Untitled,"Sat, 19 Jan 2013 15:29",52:20,6.18,303,8:28,--,--,--,854,--,
false,Untitled,"Wed, 16 Jan 2013 10:58",1:52:53,13.17,711,8:34,--,--,--,"1,822",--,
false,Untitled,"Mon, 14 Jan 2013 9:22",1:17:17,9.08,545,8:31,--,--,--,"1,255",--,
false,Untitled,"Fri, 11 Jan 2013 9:03",57:46,7.10,459,8:08,--,--,--,981,--,
false,Untitled,"Wed, 9 Jan 2013 18:17",1:06:16,8.01,363,8:16,--,--,82,"1,114",--,
false,Untitled,"Mon, 7 Jan 2013 15:05",1:27:11,10.26,615,8:30,--,--,81,"1,432",--,
false,Untitled,"Sat, 5 Jan 2013 11:48",1:16:23,9.02,248,8:28,--,--,81,"1,256",--,
false,Untitled,"Wed, 2 Jan 2013 18:17",1:16:59,9.01,408,8:33,--,--,81,"1,252",--,
